"name","seasons_played_for"
"Al-Farouq Aminu","7"
"Al Horford","7"
"Al Jefferson","7"
"Alonzo Gee","7"
"Amir Johnson","7"
"Anderson Varejao","7"
"Andre Iguodala","7"
"Andrew Bogut","7"
"Anthony Morrow","7"
"Anthony Tolliver","7"
"Arron Afflalo","7"
"Avery Bradley","7"
"Beno Udrih","7"
"Blake Griffin","7"
"Boris Diaw","7"
"Brandan Wright","7"
"Brandon Bass","7"
"Brandon Jennings","7"
"Brandon Rush","7"
"Brook Lopez","7"
"Carmelo Anthony","7"
"Chris Andersen","7"
"Chris Paul","7"
"C.J. Miles","7"
"C.J. Watson","7"
"Cole Aldrich","7"
"Corey Brewer","7"
"Courtney Lee","7"
"Danny Green","7"
"Dante Cunningham","7"
"Darren Collison","7"
"David Lee","7"
"David West","7"
"DeAndre Jordan","7"
"DeMarcus Cousins","7"
"DeMar DeRozan","7"
"DeMarre Carroll","7"
"Deron Williams","7"
"Derrick Favors","7"
"Devin Harris","7"
"Dirk Nowitzki","7"
"D.J. Augustin","7"
"Dwight Howard","7"
"Dwyane Wade","7"
"Ed Davis","7"
"Eric Bledsoe","7"
"Eric Gordon","7"
"Ersan Ilyasova","7"
"Evan Turner","7"
"Gary Neal","7"
"George Hill","7"
"Gerald Henderson","7"
"Goran Dragic","7"
"Gordon Hayward","7"
"Greg Monroe","7"
"Greivis Vasquez","7"
"Ian Mahinmi","7"
"Ish Smith","7"
"Jamal Crawford","7"
"Jameer Nelson","7"
"James Harden","7"
"James Johnson","7"
"James Jones","7"
"Jared Dudley","7"
"Jarrett Jack","7"
"Jason Smith","7"
"Jason Terry","7"
"JaVale McGee","7"
"Jeff Teague","7"
"Jeremy Lin","7"
"Jerryd Bayless","7"
"J.J. Barea","7"
"J.J. Redick","7"
"Joakim Noah","7"
"Jodie Meeks","7"
"Joe Johnson","7"
"Joel Anthony","7"
"John Wall","7"
"Jordan Hill","7"
"Jose Calderon","7"
"Josh McRoberts","7"
"J.R. Smith","7"
"Jrue Holiday","7"
"Kevin Durant","7"
"Kevin Love","7"
"Kevin Seraphin","7"
"Kosta Koufos","7"
"Kris Humphries","7"
"Kyle Korver","7"
"Kyle Lowry","7"
"LaMarcus Aldridge","7"
"Lance Stephenson","7"
"Leandro Barbosa","7"
"LeBron James","7"
"Lou Williams","7"
"Luis Scola","7"
"Luke Babbitt","7"
"Luol Deng","7"
"Manu Ginobili","7"
"Marc Gasol","7"
"Marcin Gortat","7"
"Marco Belinelli","7"
"Marcus Thornton","7"
"Marreese Speights","7"
"Marvin Williams","7"
"Matt Barnes","7"
"Michael Beasley","7"
"Mike Conley","7"
"Mike Dunleavy","7"
"Mike Miller","7"
"Monta Ellis","7"
"Nene Hilario","7"
"Nick Collison","7"
"Nick Young","7"
"Nicolas Batum","7"
"Omer Asik","7"
"Omri Casspi","7"
"Patrick Patterson","7"
"Patty Mills","7"
"Pau Gasol","7"
"Paul George","7"
"Paul Millsap","7"
"Paul Pierce","7"
"Rajon Rondo","7"
"Ramon Sessions","7"
"Randy Foye","7"
"Raymond Felton","7"
"Richard Jefferson","7"
"Robin Lopez","7"
"Rodney Stuckey","7"
"Ronnie Price","7"
"Roy Hibbert","7"
"Rudy Gay","7"
"Russell Westbrook","7"
"Ryan Anderson","7"
"Serge Ibaka","7"
"Shaun Livingston","7"
"Spencer Hawes","7"
"Stephen Curry","7"
"Steve Novak","7"
"Taj Gibson","7"
"Thabo Sefolosha","7"
"Thaddeus Young","7"
"Tiago Splitter","7"
"Timofey Mozgov","7"
"Toney Douglas","7"
"Tony Allen","7"
"Tony Parker","7"
"Trevor Ariza","7"
"Trevor Booker","7"
"Ty Lawson","7"
"Tyreke Evans","7"
"Tyson Chandler","7"
"Udonis Haslem","7"
"Vince Carter","7"
"Wayne Ellington","7"
"Wesley Johnson","7"
"Wesley Matthews","7"
"Zach Randolph","7"
"Zaza Pachulia","7"
