"team_id","abbreviation","name"
"1","DEN","Nuggets"
"2","CHI","Bulls"
"3","HOU","Rockets"
"4","IND","Pacers"
"5","GSW","Warriors"
"6","BOS","Celtics"
"7","LAC","Clippers"
"8","BRK","Nets"
"9","ATL","Hawks"
"10","CLE","Cavaliers"
"11","POR","Trail Blazers"
"12","NOP","Pelicans"
"13","DAL","Mavericks"
"14","TOT","Total"
"15","SAC","Kings"
"16","MIL","Bucks"
"17","WAS","Wizards"
"18","NJN","Nets"
"19","NOH","Hornets"
"20","LAL","Lakers"
"21","TOR","Raptors"
"22","SAS","Spurs"
"23","OKC","Thunder"
"24","CHO","Hornets"
"25","PHO","Suns"
"26","CHA","Hornets"
"27","MIN","Timberwolves"
"28","NYK","Knicks"
"29","MEM","Grizzlies"
"30","ORL","Magic"
"31","PHI","76ers"
"32","MIA","Heat"
"33","UTA","Jazz"
"34","DET","Pistons"
